"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,iplarc,,text,"Record ID",,,,,,,,,,,,,
hospitalid,iplarc,,text,"Hospital ID",,,number,0,200,,,y,,,,,
reporting_month,iplarc,,dropdown,"1. For which month are you reporting? ","1, April 2018 | 2, May 2018 | 3, June 2018 | 4, July 2018 | 5, August 2018 | 6, September 2018 | 7, October 2018 | 8, November 2018 | 9, December 2018 | 10, January 2019 | 11, February 2019 | 12, March 2019 | 13, April 2019 | 14, May 2019 | 15, June 2019 | 16, July 2019 | 17, August 2019 | 18, September 2019 | 19, October 2019 | 20, November 2019 | 21, December 2019 | 22, January 2020 | 23, February 2020 | 24, March 2020 | 25, April 2020 | 26, May 2020 | 27, June 2020 | 28, July 2020 | 29, August 2020 | 30, September 2020 | 31, October 2020 | 32, November 2020 | 33, December 2020",,autocomplete,,,,,y,,,,,
phase,iplarc,,radio,"I am entering data for: ","1, Active phase | 2, Sustainability phase",,,,,,,y,,,,,
structuremeasures,iplarc,,descriptive,,,,,,,,,,,,,,
stakeholders_qi_team,iplarc,,checkbox,"2. What stakeholders do you have on your hospital QI team to date? 

Check all that apply.","1, Administration | 2, MCO Liaison | 3, Pharmacy | 4, Billing | 5, Nursing | 6, Lactation consultant | 7, OB provider champion | 8, EMR/IT | 9, Ambulatory prenatal care site liaison | 10, Social Work | 11, Other",,,,,,"[phase] = '1'",y,,,,,
other_stakeholder,iplarc,,text,"2a. If other, please specify: ",,,,,,,"[stakeholders_qi_team(11)] = '1'",y,,,,,
inpatient_iuds,iplarc,"Hospital has IPLARC devices stocked in the inpatient inventory",radio,"3. Are inpatient IUDs available on your hospital formulary? ","1, Have not started | 2, Working on it | 3, In place (one or more IUDs are available)",,,,,,"[phase] = '1'",y,,,,,
iud_specify,iplarc,,checkbox,"3a. If in place, please specify IUD(s): 

Check all that apply. ","1, Mirena | 2, Lilleta | 3, Skyla | 4, Kyleena | 5, Paraguard | 6, Other",,,,,,"[inpatient_iuds] = '3'",y,,,,,
other_iud,iplarc,,text,"3b. If other IUD, please specify: ",,,,,,,"[iud_specify(6)] = '1'",y,,,,,
inpatient_implant,iplarc,,radio,"4. Are inpatient implants available on your hospital formulary? ","1, Have not started | 2, Working on it | 3, In place",,,,,,"[phase] = '1'",y,,,,,
larc_availability,iplarc,,radio,"5. Are inpatient LARC devices (with needed supplies) available on Labor and Delivery and/or on the postpartum unit? ","1, Have not started | 2, Working on it | 3, In place",,,,,,"[phase] = '1'",y,,,,,
