hospitalid,lat,long,address,phone,Regions
34,41.729,88.2706,"1653 W Congress Pkwy, Chicago, IL 60612",(630) 978-6200,Northeast Region
2,41.7888,87.6043,"5758 S Maryland Ave, Chicago, IL 60637",(773) 702-1865,Northeast Region
7,41.8947,87.6215,"251 E Huron St, Chicago, IL 60611",(312) 926-2000,Northeast Region
40,41.8728,87.6737,"1969 Ogden Ave, Chicago, IL 60612",(312) 864-6000,Northeast Region
110,41.8696,87.6716,"1740 W Taylor St, Chicago, IL 60612",(866) 600-2273,Northeast Region
19,41.8644,87.6884,"2875 W 19th St, Chicago, IL 60623",(773) 484-1000,Northeast Region
36,40.79,73.9527,"2653 Ogden Ave, Chicago, IL 60608",(773) 257-6672,Northeast Region
3,40.7752,73.7013,"2650 Ridge Ave, Evanston, IL 60201",(847) 570-2000,Northeast Region
50,42.3782,87.8325,"1324 N Sheridan Rd, Waukegan, IL 60085",(847) 360-3000,Northeast Region
21,42.0385,87.8476,"1775 Dempster Street, Park Ridge, IL 60068",847) 723-2210,Northeast Region
56,41.937,87.652,"836 W Wellington Ave, Chicago, IL 60657",(773) 975-1600,Northeast Region
18,40.117,88.2156,"611 W Park St, Urbana, IL 61801",(217) 383-3311,East Central Region
91,48.8934,2.271539927,"1044 N Francisco Ave, Chicago, IL 60622",(773) 292-8200,Northeast Region
87,39.8097,89.6568,"1802 W Chicago Ave, Chicago, IL 60622",(773) 278-8727,Northeast Region
55,37.7274,89.2207,"405 W Jackson St, Carbondale, IL 62901",(618) 549-0721,Southern Region
42,41.7218,87.7328,"4440 W 95th St, Oak Lawn, IL 60453",(708) 684-8000,Northeast Region
51,41.9753,87.6995,"5140 N California Ave, Chicago, IL 60625",(773) 878-8200,Northeast Region
13,41.8746,87.6687,"1653 W Congress Pkwy, Chicago, IL 6061",(312) 942-5000,Northeast Region
120,41.7265,87.5679,"2320 E 93rd St, Chicago, IL 60617",(773) 967-2000,Northeast Region
43,40.1538,89.3898,"200 Stahlhut Dr, Lincoln, IL 62656",(217) 732-2161,Central Region
47,40.1538,89.3898,"200 Stahlhut Dr, Lincoln, IL 62656",(217) 732-2161,Central Region
28,38.6369,90.2645,"1 Barnes Jewish Hospital Plaza, St. Louis, MO 63110",(314) 747-3000,Missouri 
69,38.7367,89.9462," 6800 State Route 162, IL-162, Maryville, IL 62062",(618) 288-5711,Southwest Region
25,40.4653,-88.3758875,"1120 N Melvin St, Gibson City, IL 60936",(217) 784-4251,Southeast Region
44,41.8731,-88.15747833,"25 N Winfield Rd, Winfield, IL 60190",(630) 933-1600,Northeast Region
5,41.5458,-87.98079,"1900 Silver Cross Blvd, New Lenox, IL 60451",(815) 300-1100,Northeast Region
52,29.7095,-95.3981781,"3 Erie St, Oak Park, IL 60302",(708) 383-6200,Northeast Region
92,47.274,6.383059978,"1600 W Walnut St, Jacksonville, IL 62650",(217) 245-9541,Southwest Region
